"complaint","department"
"Encroachment near the park boundary in the slum area behind our society has reduced the play area for children.","Parks & Gardens"
"Rainwater mixed with garbage outside the mosque has created a filthy, smelly puddle on the street.","Garbage Collection"
"Overloaded shared autos near Shanti Nagar are extremely unsafe, especially for women travelling alone.","Public Transport"
"The electric pole wires in the industrial area are tangled with tree branches, risk of short circuit is high.","Electricity"
"Sir, we r senior citizens on the service road and carrying water from far is very hard for us.","Water Supply"
"Please install proper benches and lighting in the community garden Green Valley Society.","Parks & Gardens"
"Unregulated firecracker stalls near near Lotus Apartments pose a serious fire risk during the festival season.","Other"
"During the wedding season, frequent power cuts Rajpuri village are ruining events for many families.","Electricity"
"road is completely broken MG Road, cant even ride a scooty properly","Roads & Potholes"
"The service road next to the highway near St. Mary's convent school has huge cracks running across it.","Roads & Potholes"
"The road leading to the hospital in Phase 2 of Divine Enclave society is full of potholes, ambulances struggle to pass.","Roads & Potholes"
"The signal pole in front of our apartment building was damaged in an accident and hasn't been repaired since.","Traffic Signals"
"Weekend crowds leave the park in front of the primary health centre full of trash by evening with no cleanup afterward.","Parks & Gardens"
"Power supply on the highway bypass road keeps failing during every rainfall, we need underground cabling.","Electricity"
"The platform at behind the fish market station has no shelter, passengers get drenched during rains.","Public Transport"
"We request better security in the park close to the fire station as incidents of theft have increased recently.","Parks & Gardens"
"There has been complete darkness in front of the primary health centre for over two weeks now, please send an electrician.","Street Lighting"
"Overcrowded buses on the MG Road route are becoming unsafe, especially during rush hour.","Public Transport"
"traffic light near behind the fish market is stuck on red always, cars just ignore it now","Traffic Signals"
"There are no streetlights or road markings on the newly built road near the metro station, very risky at night.","Roads & Potholes"
"The lake inside the garden near Sunrise Public School is filled with plastic waste and looks neglected.","Parks & Gardens"
"After last night's storm, the traffic light Lakeview Apartments went completely dark and stayed that way.","Traffic Signals"
"the dustbin near near Sunrise Public School is broken and overflowing since many days, plz send a truck","Garbage Collection"
"There has been complete darkness in Old Town market for over two weeks now, please send an electrician.","Street Lighting"
"The bus to close to the college gate has not come on schedule for the past week, commuters are stranded.","Public Transport"
"Illegal construction is taking place near the metro station without any approved building permit.","Other"
"There is no bus service at all connecting our village to behind the fish market after 7pm.","Public Transport"
"Auto and cab drivers near Lakeview Apartments refuse to go by meter and overcharge passengers.","Public Transport"
"Please replace the broken street lamp near the temple, it has been dead for over a month.","Street Lighting"
"Pedestrians are forced to run across Sector 12 since the walk signal never turns green.","Traffic Signals"
"the signal near the railway station shows green in all directions at once, this is very confusing and unsafe","Traffic Signals"
"Please clean up the litter and broken glass scattered across the park in front of our apartment building.","Parks & Gardens"
"Medical waste from a nearby clinic is being dumped with regular garbage on the service road, very unsafe.","Garbage Collection"
"There is a foul smell coming from the uncollected garbage close to the fire station, it's unbearable.","Garbage Collection"
"Voltage fluctuation Sector 12 burnt out our refrigerator and television last week.","Electricity"
"Please install proper benches and lighting in the community garden in front of the primary health centre.","Parks & Gardens"
"School children outside City Hospital have no drinking water available during exam days.","Water Supply"
"The park pathway lights MG Road are all switched off, making evening walks unsafe for elderly people.","Street Lighting"
"We need a signal at the intersection near at the bus stop on Church Street, it is extremely dangerous during school hours.","Traffic Signals"
"pls take action on the illegal liquor shop operating near in Old Town market, its disturbing the area","Other"
"Several streetlight poles on Ring Road are flickering and going off randomly every night.","Street Lighting"
"Gardeners have not visited the park near Sunrise Public School in months, hedges are overgrown and unkempt.","Parks & Gardens"
"The jogging track lights near Lotus Apartments are not working, making evening exercise unsafe.","Parks & Gardens"
"The bus stop sign in front of the primary health centre has faded completely, new commuters can't identify the stop.","Public Transport"
"Waste water from the sewage treatment plant is leaking into the nearby pond on the highway bypass road.","Sewage & Drainage"
"The signal at the bus stop on Church Street was knocked down by a truck last week and has not been replaced.","Traffic Signals"
"We are getting muddy and smelly water in our taps Shanti Nagar. This is causing a lot of trouble.","Water Supply"
"The ticket counter at in Nehru Colony station remains closed most mornings, causing long queues.","Public Transport"
"We have raised this issue thrice already, the streetlight in the industrial area is still not repaired.","Street Lighting"
"Sir, our society near the metro station has not had its garbage picked up for over a week now.","Garbage Collection"
"The underground drainage pipe Lakeview Apartments has collapsed, creating a huge sinkhole on the road.","Sewage & Drainage"
"Rainwater mixed with garbage near the metro station has created a filthy, smelly puddle on the street.","Garbage Collection"
"Please install new streetlights along the road near Lotus Apartments, there have been robberies at night.","Street Lighting"
"The lighting at the bus stop near the church junction has failed and commuters wait in complete darkness.","Street Lighting"
"The meter reading close to the college gate was never taken this quarter, yet we got an estimated bill that's too high.","Electricity"
"There has been no water supply in front of the primary health centre since Monday. Hope this gets resolved before something bad happens.","Water Supply"
"Power supply near the temple keeps failing during every rainfall, we need underground cabling.","Electricity"
"Someone is dumping slaughterhouse waste near the park on the service road, it's extremely unhygienic.","Garbage Collection"
"The garden near Sunrise Public School used to be well maintained but now it is full of dry patches and litter.","Parks & Gardens"
"Foul smelling gutter water is entering our compound in the industrial area through a cracked pipe.","Sewage & Drainage"
"Auto and cab drivers near near the bus depot refuse to go by meter and overcharge passengers.","Public Transport"
"please add more plants and flowers in the park at the railway crossing, it looks very neglected now","Parks & Gardens"
"Nobody segregates the waste properly close to the fire station and it is just dumped in one big heap.","Garbage Collection"
"An accident nearly happened in Nehru Colony last night because the road was completely dark.","Street Lighting"
"The dumping ground near in Old Town market is overflowing and residents are complaining of the stench.","Garbage Collection"
"The traffic signal in front of Ambedkar Park is hidden behind an overgrown tree, drivers can't see it in time.","Traffic Signals"
"the drain near Shanti Nagar is blocked with plastic and overflowing into our compound","Sewage & Drainage"
"Illegal power connections at the railway crossing are overloading the local transformer and causing frequent trips.","Electricity"
"The road leading to the hospital near Gandhi Chowk is full of potholes, ambulances struggle to pass.","Roads & Potholes"
"why is water supply cut every single day Rajpuri village without any notice given to us","Water Supply"
"A major water pipeline has burst near St. Mary's convent school and water is being wasted on the road. Please send someone soon.","Water Supply"
"Rats and cockroaches are coming from the open drain MG Road into our homes.","Sewage & Drainage"
"Please fix the timer on the streetlights close to the fire station, they switch on only at midnight now.","Street Lighting"
"Tar has washed away completely from the road near the government hospital, only stones remain now.","Roads & Potholes"
"The whole colony in Old Town market has been without power since last evening due to a tripped line.","Electricity"
"Rainwater mixed with garbage in Nehru Colony has created a filthy, smelly puddle on the street.","Garbage Collection"
"Please install new streetlights along the road near the church junction, there have been robberies at night.","Street Lighting"
"Please deploy a suction machine to clear the choked drain behind the fish market before the next rains.","Sewage & Drainage"
"We had to buy water cans for a week because the municipal supply close to the fire station completely dried up.","Water Supply"
"An auto rickshaw overturned yesterday due to the massive pothole outside the mosque, someone was injured.","Roads & Potholes"
"During peak hours the traffic light MG Road malfunctions and creates chaos on the road.","Traffic Signals"
"Water supply pipe passing through the drain in the slum area behind our society has cracked and is a serious contamination risk.","Water Supply"
"An open drain runs right past the bus stop close to the fire station, commuters have to step over sewage.","Sewage & Drainage"
"traffic light near near the government hospital is stuck on red always, cars just ignore it now","Traffic Signals"
"Half the streetlights on the highway stretch near Gandhi Chowk are non-functional, very risky for drivers.","Street Lighting"
"our society entrance near the church junction has no light at all after 9pm, security guard cant see anything","Street Lighting"
"The open gym equipment near Lotus Apartments is rusted and some machines are completely non-functional.","Parks & Gardens"
"Low water pressure at the railway crossing is making it impossible to fill even a bucket.","Water Supply"
"The drain outside the hospital in the slum area behind our society is overflowing and creating unhygienic surroundings for patients.","Sewage & Drainage"
"Streetlight cables behind the community hall were stolen last week and the area has been dark since.","Street Lighting"
"An abandoned building near Sunrise Public School has become a hotspot for illegal activities at night.","Other"
"The substation near Lakeview Apartments trips almost every evening during peak usage hours.","Electricity"
"electricity keeps going on and off every few minutes near near the panchayat office, very frustrating","Electricity"
"The bus conductor in the industrial area misbehaved with an elderly passenger, this is unacceptable.","Public Transport"
"The road divider on Ring Road has been damaged and never fixed, causing wrong-side driving.","Roads & Potholes"
"After the recent rains, the road in Old Town market has turned into a muddy mess with deep potholes.","Roads & Potholes"
"We request better security in the park in Phase 2 of Divine Enclave society as incidents of theft have increased recently.","Parks & Gardens"
"During heavy rains the drains near Sunrise Public School overflow within minutes causing severe flooding.","Sewage & Drainage"
"A stray cattle herd roams freely Rajpuri village, causing traffic disruptions and damaging crops.","Other"
"The bridge approach road outside the mosque has sunk in the middle and cars are scraping their base.","Roads & Potholes"
"The signal at Rajpuri village has been under 'temporary repair' for six months now with no progress.","Traffic Signals"
"An open drain runs right past the bus stop Shanti Nagar, commuters have to step over sewage.","Sewage & Drainage"
"pls do something, garbage smell is entering our house near outside the mosque its disgusting","Garbage Collection"
"There is no traffic signal at the busy junction on the highway bypass road, accidents happen almost every week.","Traffic Signals"
"The platform at on the flyover near Sector 9 station has no shelter, passengers get drenched during rains.","Public Transport"
"Overcrowded buses on the Sector 12 route are becoming unsafe, especially during rush hour.","Public Transport"
"The playground on Ring Road has been taken over by unauthorized parking of commercial vehicles.","Other"
"Contaminated water is coming from the municipal pipeline Green Valley Society, several people fell sick.","Water Supply"
"Please install proper benches and lighting in the community garden near the panchayat office.","Parks & Gardens"
"the park near near the vegetable mandi is full of garbage and drunkards hang around there at night","Parks & Gardens"
"Overloaded shared autos near at the bus stop on Church Street are extremely unsafe, especially for women travelling alone.","Public Transport"
"The society's septic tank outside City Hospital is overflowing and needs urgent desludging.","Sewage & Drainage"
"The water supply timing has changed suddenly and nobody informed the residents near Sunrise Public School.","Water Supply"
"Encroachment by vendors in Rampur village has blocked the entire footpath, pedestrians walk on the road.","Other"
"The feeder bus service to the metro station on Ring Road has been discontinued without explanation.","Public Transport"
"The park gate outside the mosque has been broken for weeks, stray animals wander in freely.","Parks & Gardens"
"garbage van comes very late at night near Lotus Apartments and disturbs everyone with the noise","Garbage Collection"
"There have been three accidents this month at the junction near Sunrise Public School due to the faulty signal.","Traffic Signals"
"A live wire fell on the road near the panchayat office during the storm, we fear someone could get electrocuted.","Electricity"
"Pedestrians are forced to run across near the railway station since the walk signal never turns green.","Traffic Signals"
"During Diwali the lights in Rampur village were working, but they have been off ever since.","Street Lighting"
"An electrical fault in the traffic signal on Station Road caused a short circuit spark last evening.","Traffic Signals"
"The society's septic tank near Gandhi Chowk is overflowing and needs urgent desludging.","Sewage & Drainage"
"The lighting at the bus stop near the vegetable mandi has failed and commuters wait in complete darkness.","Street Lighting"
"Flies and mosquitoes are breeding in the garbage heap on the highway bypass road, we fear disease outbreak.","Garbage Collection"
"A group of anti-social elements gathers behind the fish market every night and creates a nuisance.","Other"
"An open manhole in front of our apartment building is extremely dangerous, a child almost fell into it yesterday.","Sewage & Drainage"
"The sewage line in front of Ambedkar Park has overflowed and dirty water is flooding the street.","Sewage & Drainage"
"There is no light near the temple steps near the church junction, elderly devotees keep stumbling in the dark.","Street Lighting"
"There is no traffic signal at the busy junction at the railway crossing, accidents happen almost every week.","Traffic Signals"
"The water tanker did not come to on the service road for a fortnight, and we have run out of drinking water.","Water Supply"
"Contaminated water is coming from the municipal pipeline near the government hospital, several people fell sick.","Water Supply"
"Frequent breakdowns of the local buses near near the temple are causing huge delays for commuters.","Public Transport"
"Frequent power cuts near Lotus Apartments are damaging our appliances due to voltage fluctuation.","Electricity"
"We request a permanent solution for garbage disposal in the industrial area instead of irregular pickups.","Garbage Collection"
"During the wedding season, frequent power cuts near the vegetable mandi are ruining events for many families.","Electricity"
"Cows and stray animals are eating from the open garbage dump Sector 12 daily.","Garbage Collection"
"Water supply pipe passing through the drain in front of Ambedkar Park has cracked and is a serious contamination risk.","Water Supply"
"Cars turning right at MG Road have no dedicated signal, causing frequent near-misses.","Traffic Signals"
"The service road next to the highway Green Valley Society has huge cracks running across it.","Roads & Potholes"
"pls do something, garbage smell is entering our house near outside City Hospital its disgusting","Garbage Collection"
"The park gate near St. Mary's convent school has been broken for weeks, stray animals wander in freely.","Parks & Gardens"
"The garbage dump on Station Road is right next to the school, children have to breathe the stink daily.","Garbage Collection"
"Contaminated water is coming from the municipal pipeline near Lotus Apartments, several people fell sick.","Water Supply"
"The market street near St. Mary's convent school goes completely dark after 8pm, shopkeepers are worried about theft.","Street Lighting"
"Unauthorized hoardings in Kalyan Nagar are blocking the view at a busy junction, causing safety issues.","Other"
"Water logging on the road near the railway station hides the potholes underneath and vehicles keep getting stuck.","Roads & Potholes"
"After last night's storm, the traffic light on Station Road went completely dark and stayed that way.","Traffic Signals"
"A property dispute has led to an illegal wall being built blocking the common pathway in front of Ambedkar Park.","Other"
"Drivers routinely jump the red light Rajpuri village because there is no camera or officer present.","Traffic Signals"
"the manhole cover near in Nehru Colony is missing since last week, its very risky at night","Sewage & Drainage"
"The whole colony near the government hospital has been without power since last evening due to a tripped line.","Electricity"
"An abandoned building outside the mosque has become a hotspot for illegal activities at night.","Other"
"A stray cattle herd roams freely behind the community hall, causing traffic disruptions and damaging crops.","Other"
"There is stagnant sewage water in Rampur village right next to the children's play area, very unsafe.","Sewage & Drainage"
"The metro service near in Rampur village has been irregular, with long gaps between trains lately.","Public Transport"
"Beggars and vendors crowd the temple entrance in front of the primary health centre, making it difficult for devotees to enter.","Other"
"The road in Old Town market has not been repaired since the monsoon and is full of craters.","Roads & Potholes"
"An auto rickshaw overturned yesterday due to the massive pothole at the bus stop on Church Street, someone was injured.","Roads & Potholes"
"Contaminated water is coming from the municipal pipeline behind the fish market, several people fell sick.","Water Supply"
"Contaminated water is coming from the municipal pipeline MG Road, several people fell sick.","Water Supply"
"We request a dedicated bus lane near Rajpuri village to reduce delays during office hours.","Public Transport"
"Stray dogs near St. Mary's convent school have become aggressive and have bitten two children this month.","Other"
"Sir, our society outside the mosque has not had its garbage picked up for over a week now.","Garbage Collection"
"Sewage water has entered ground floor homes near the metro station after last night's heavy rain.","Sewage & Drainage"
"Streetlight cables near the government hospital were stolen last week and the area has been dark since.","Street Lighting"
"Please install new streetlights along the road MG Road, there have been robberies at night.","Street Lighting"
"The dumping ground near behind the fish market is overflowing and residents are complaining of the stench.","Garbage Collection"
"Repeated patchwork on the road near the metro station keeps washing away within days of every rain.","Roads & Potholes"
"The park pathway lights near the church junction are all switched off, making evening walks unsafe for elderly people.","Street Lighting"
"There has been no water supply behind the community hall since last night.","Water Supply"
"A large pit has formed MG Road due to a burst pipeline and it is a danger for vehicles.","Roads & Potholes"
"We need a signal at the intersection near outside the mosque, it is extremely dangerous during school hours.","Traffic Signals"
"The bus stop sign outside the mosque has faded completely, new commuters can't identify the stop.","Public Transport"
"Exposed electrical wires behind the fish market are hanging low, extremely dangerous for children playing nearby.","Electricity"
"There is no bus service at all connecting our village to on Ring Road after 7pm.","Public Transport"
"Only 2 out of 10 poles are working Rajpuri village, the rest have been dark for months.","Street Lighting"
"The garbage collector demands extra money for pickup near St. Mary's convent school, otherwise he skips our house.","Garbage Collection"
"During Ganesh festival the water tanker skipped our lane MG Road for three days straight.","Water Supply"
"i think there is some leakage underground behind the community hall bcoz road is always wet even in summer","Water Supply"
"Please fix the timer on the streetlights Shanti Nagar, they switch on only at midnight now.","Street Lighting"
"The drain outside the hospital at the railway crossing is overflowing and creating unhygienic surroundings for patients.","Sewage & Drainage"
"Please regulate the noise from the DJ played during the wedding function near Gandhi Chowk till midnight.","Other"
"Noise pollution from the loudspeaker at the temple in the slum area behind our society continues late into the night.","Other"
"The children's park Rajpuri village has broken swings and rusty equipment that could hurt kids.","Parks & Gardens"
"During heavy rains the drains Rajpuri village overflow within minutes causing severe flooding.","Sewage & Drainage"
"Our entire street Shanti Nagar smells of sewage after the pipeline burst two days ago.","Sewage & Drainage"
"We had to buy water cans for a week because the municipal supply near the railway station completely dried up.","Water Supply"
"garbage van comes very late at night close to the college gate and disturbs everyone with the noise","Garbage Collection"
"Mosquito fogging has not been done near Sunrise Public School despite several dengue cases reported nearby.","Other"
"The e-ticketing machine at Sector 12 station has been out of order for over a month now.","Public Transport"
"Our electricity bill near the metro station shows an abnormally high reading despite minimal usage this month.","Electricity"
"why is water supply cut every single day on Ring Road without any notice given to us","Water Supply"
"An unauthorized religious structure has come up overnight in Old Town market, blocking half the road.","Other"
"There is no power backup at the hospital in front of the primary health centre during outages, this endangers patients.","Electricity"
"People are burning garbage openly close to the college gate causing thick smoke and bad smell every evening.","Garbage Collection"
"please add more plants and flowers in the park in Rampur village, it looks very neglected now","Parks & Gardens"
"Gardeners have not visited the park Rajpuri village in months, hedges are overgrown and unkempt.","Parks & Gardens"
"Construction debris has been left on the road in Rampur village for weeks, blocking half the lane.","Roads & Potholes"
"A major water pipeline has burst near the government hospital and water is being wasted on the road. Requesting the concerned department to act fast.","Water Supply"
"our society entrance near the vegetable mandi has no light at all after 9pm, security guard cant see anything","Street Lighting"
"The garbage collector demands extra money for pickup close to the fire station, otherwise he skips our house.","Garbage Collection"
"Foul smelling gutter water is entering our compound in Nehru Colony through a cracked pipe.","Sewage & Drainage"
"Long queues form daily outside the mosque because the signal cycle is poorly timed for the traffic volume.","Traffic Signals"
"Commuters at near the temple have been complaining about rash driving by local bus drivers.","Public Transport"
"This is the third complaint about the same pothole close to the fire station, still nothing has been done.","Roads & Potholes"
"Kids cannot play in the evening Rajpuri village because there is no lighting on the ground.","Street Lighting"
"Repeated patchwork on the road MG Road keeps washing away within days of every rain.","Roads & Potholes"
"The ticket counter at near the temple station remains closed most mornings, causing long queues.","Public Transport"
"The signal near the railway crossing near the metro station does not sync properly with the gate timings.","Traffic Signals"
"People are burning garbage openly Sector 12 causing thick smoke and bad smell every evening.","Garbage Collection"
"The traffic signal near the bus depot has not been working since Diwali night, causing massive jams.","Traffic Signals"
"Passengers are forced to travel on the footboard on the near Sunrise Public School route due to overcrowding.","Public Transport"
"We need a signal at the intersection near in the industrial area, it is extremely dangerous during school hours.","Traffic Signals"
"An unauthorized religious structure has come up overnight near the metro station, blocking half the road.","Other"
"Only 2 out of 10 poles are working close to the college gate, the rest have been dark for months.","Street Lighting"
"please increase the number of buses on this route, its always packed near near the bus depot","Public Transport"
"An abandoned building near the metro station has become a hotspot for illegal activities at night.","Other"
"There is sewage mixing into the drinking water pipeline on the flyover near Sector 9, this is a health hazard.","Water Supply"
"Garbage is piling up near Gandhi Chowk and stray dogs are scattering it all over the street.","Garbage Collection"
"pls do something, garbage smell is entering our house near Shanti Nagar its disgusting","Garbage Collection"
"There is a burning smell coming from the electric pole behind the fish market, please send someone immediately.","Electricity"
"There is no proper drainage system near the government hospital, every monsoon the lane gets waterlogged badly.","Sewage & Drainage"
"Kids' play area close to the college gate has broken slides with sharp edges, very dangerous for children.","Parks & Gardens"
"During the wedding season, frequent power cuts in front of Ambedkar Park are ruining events for many families.","Electricity"
"Construction waste has been dumped illegally behind the fish market, blocking half the road.","Garbage Collection"
"the sprinkler system in garden close to the fire station is broken so all the grass has dried up completely","Parks & Gardens"
"The electric pole wires in Kalyan Nagar are tangled with tree branches, risk of short circuit is high.","Electricity"
"The meter reading in Kalyan Nagar was never taken this quarter, yet we got an estimated bill that's too high.","Electricity"
"Sewage water has entered ground floor homes behind the community hall after last night's heavy rain.","Sewage & Drainage"
"Weekend crowds leave the park near the railway station full of trash by evening with no cleanup afterward.","Parks & Gardens"
"The railway crossing gate near near Gandhi Chowk stays closed for unusually long periods, delaying commuters.","Public Transport"
"During the rains, water entered the streetlight fixture near the church junction and now it sparks dangerously.","Street Lighting"
"The signal at at the railway crossing has been under 'temporary repair' for six months now with no progress.","Traffic Signals"
"A large pit has formed on the flyover near Sector 9 due to a burst pipeline and it is a danger for vehicles.","Roads & Potholes"
"Exposed electrical wires at the railway crossing are hanging low, extremely dangerous for children playing nearby.","Electricity"
"The stray dog menace on the flyover near Sector 9 needs urgent sterilization drives, they chase morning walkers.","Other"
"Contaminated water is coming from the municipal pipeline in front of the primary health centre, several people fell sick.","Water Supply"
"People are burning garbage openly near the church junction causing thick smoke and bad smell every evening.","Garbage Collection"
"The lamp post outside the mosque is leaning dangerously and could fall on passing vehicles anytime.","Street Lighting"
"School children in Old Town market have no drinking water available during exam days.","Water Supply"
"The lake inside the garden on the highway bypass road is filled with plastic waste and looks neglected.","Parks & Gardens"
"street light number 14 near outside the mosque keeps blinking on and off, very annoying and unsafe","Street Lighting"
"Our request for a new electricity connection near the government hospital has been pending for over two months.","Electricity"
"The metro service near near the bus depot has been irregular, with long gaps between trains lately.","Public Transport"
"Rats and cockroaches are coming from the open drain in Nehru Colony into our homes.","Sewage & Drainage"
"The park gate close to the college gate has been broken for weeks, stray animals wander in freely.","Parks & Gardens"
"An open manhole on the service road is extremely dangerous, a child almost fell into it yesterday.","Sewage & Drainage"
"The railway station near the church junction lacks proper announcements, passengers keep missing their trains.","Public Transport"
"traffic light near in front of our apartment building is stuck on red always, cars just ignore it now","Traffic Signals"
"Nobody segregates the waste properly Lakeview Apartments and it is just dumped in one big heap.","Garbage Collection"
"There is no bus service at all connecting our village to on Station Road after 7pm.","Public Transport"
"Medical waste from a nearby clinic is being dumped with regular garbage outside the mosque, very unsafe.","Garbage Collection"
"The open gym equipment on the service road is rusted and some machines are completely non-functional.","Parks & Gardens"
"The playground MG Road has been taken over by unauthorized parking of commercial vehicles.","Other"
"Low water pressure near Gandhi Chowk is making it impossible to fill even a bucket. Kindly do the needful at the earliest.","Water Supply"
"The road divider near the panchayat office has been damaged and never fixed, causing wrong-side driving.","Roads & Potholes"
"Power supply Rajpuri village keeps failing during every rainfall, we need underground cabling.","Electricity"
"Children playing near the temple are exposed to broken glass and waste scattered on the ground.","Garbage Collection"
"The ticket counter at MG Road station remains closed most mornings, causing long queues.","Public Transport"
"During night hours the signal MG Road should blink amber but instead it stays completely off.","Traffic Signals"
"We request urgent repair of the crater-like pothole behind the fish market, an elderly man fell into it yesterday.","Roads & Potholes"
"i think there is some leakage underground in the slum area behind our society bcoz road is always wet even in summer","Water Supply"
