complaint,department
An emergency situation has arisen. watar supply cut off without any prior notice in Sunrise Housing Society. Please fix asap.,Water Supply
No toilet facilities or drinking water available for visitors inside the massive regional park. This is happening along the commercial market lane.,Parks & Gardens
Please resolve this as soon as possible. It is impossible to walk outside Green Valley Apartments after sunset because the lights are completely dead. Please take immediate action.,Street Lighting
gargabe truck driver driving very recklessly inside the residential complex lines.,Garbage Collection
"The ladies' special bus route has been stopped without any prior notice, causing major inconvenience. It is worse in this scorching heat.",Public Transport
Reminder for the authority: An electric pole is leaning dangerously over the road outside the community hospital. Big hazard!,Electricity
"Our entire locality is suffering. Terrible road conditions on the national highway, causing multiple minor accidents every day.",Roads & Potholes
The sweepers are burning dry leaves and plastic waste in the open near the public park.,Garbage Collection
Complaining on behalf of all residents. We need regular trimming of the large tree branches overhanging the pathway inside the park.,Parks & Gardens
benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden. needs fix near the petrol pump.,Parks & Gardens
Massive crater in the middle of the road near the central bus stop. Someone will get seriously hurt. It has been happening for a long time.,Roads & Potholes
A manhole cover is completely missing on the main road near the railway station. Highly dangerous! This is happening at the central bus stop.,Sewage & Drainage
No power for the last 12 hours in our village. Needs fix right outside the railway station.,Electricity
A manhole cover is completely missing on the main road near the railway station. Highly dangerous! This is happening near St. Mary's School.,Sewage & Drainage
stret lights not working since last monday near the local market zone. Needs fix near the petrol pump.,Street Lighting
"We requested new street lights for our village road six months ago, but still nothing has been done.",Street Lighting
The traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop. Looking forward to a speedy resolution.,Traffic Signals
Frequent signal failures at the major intersection are leading to multiple near-miss accidents every day. This is happening at the central bus stop.,Traffic Signals
watar supply cut off without any prior notice in Sunrise Housing Society. Please fix asap. It is worse during peak rush hours.,Water Supply
muddy and slippery tracks in our village because the main road was never paved by the municipality. needs fix near the petrol pump.,Roads & Potholes
"The walking track inside the park is completely broken, causing senior citizens to trip and fall. Needs fix in the residential block C.",Parks & Gardens
all the swings and slides are broken and rusted in the municipal park near st. needs fix in our village square.,Parks & Gardens
We are getting water for only 10 minutes in the morning. How are we supposed to survive in this heat? Kindly address this on high priority.,Water Supply
Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately.,Sewage & Drainage
There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic. This is happening near the public library.,Traffic Signals
Stray cattle and dogs have entered the community park because the boundary wall is broken.,Parks & Gardens
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. Hoping for a quick response.,Traffic Signals
"Why is nothing being done about this? Reckless driving by the municipal bus driver near St. Mary's School, almost hit a cyclist today. Looking forward to a speedy resolution.",Public Transport
Writing this out of absolute desperation. The entire stretch from the railway station to the market is full of deep patches and potholes. No one is listening to our requests.,Roads & Potholes
The street inside our housing society entrance is completely worn out. Needs fix by the sector 4 intersection.,Roads & Potholes
Illegal construction work going on without building permission behind Green Valley Apartments. It is worse making it unsafe for kids.,Other
The bus conductors are routinely refusing to issue tickets to students and senior citizens. This is happening near Green Valley Apartments.,Public Transport
The lamp post near St. Mary's School has an exposed live wire hanging down. This is an emergency! This is completely unacceptable.,Street Lighting
"Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. This is happening in the residential block C.",Garbage Collection
"Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. This is happening by the main vegetable market.",Water Supply
Extremely disappointed with municipal services. The local city bus completely skipped the central bus stop thrice this morning during rush hour. This needs to be fixed before an accident happens.,Public Transport
Why is nothing being done about this? Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. The concerned department must check this today.,Garbage Collection
The countdown timer display is completely broken and blacked out at the sector 4 crossing. It is worse with the upcoming festival season.,Traffic Signals
The entire locality is flooded with drainage water after the heavy rains yesterday morning. Needs fix outside the community hospital.,Sewage & Drainage
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. It is worse especially at night time.",Public Transport
Reckless driving by the municipal bus driver near St. Needs fix near the petrol pump.,Public Transport
Complaining on behalf of all residents. The local park is completely dark after 6 PM because none of the internal lights are operational.,Street Lighting
"Extremely disappointed with municipal services. The valve man is not opening the gates properly, some houses get full force while we get nothing.",Water Supply
Urgent attention needed. No water since last 3 days in our village area. The tankers are charging too much money. Looking forward to a speedy resolution.,Water Supply
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. Needs fix along the commercial market lane.,Public Transport
"Please resolve this as soon as possible. Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. Looking forward to a speedy resolution.",Water Supply
Kindly look into this issue: We need regular trimming of the large tree branches overhanging the pathway inside the park.,Parks & Gardens
"no working lights on the national highway stretch, leading to minor accidents during night time. this is happening right outside the railway station.",Street Lighting
Frequent voltage fluctuations are damaging home appliances like refrigerators and ACs near the market. It is worse which is an emergency situation.,Electricity
Writing this out of absolute desperation. suwage water leaking and mixing with the open field where children play in our village.,Sewage & Drainage
Huge potholes have formed near the main vegetable market after the heavy rains yesterday. Needs fix near the metro station gate.,Roads & Potholes
we are getting water for only 10 minutes in the morning. how are we supposed to survive in this heat? this is happening near the metro station gate.,Water Supply
An emergency situation has arisen. Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments.,Garbage Collection
Writing this out of absolute desperation. The green belt area along the highway is being encroached upon by illegal vehicle parking.,Parks & Gardens
rod is full of potholes near school zone. very dangerous for kids. This is happening at the central bus stop.,Roads & Potholes
"Please take strict action. Pls check the main water reservoir near the park, it seems to be overflowing and wasting water.",Water Supply
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. This is happening by the sector 4 intersection.,Public Transport
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. Needs fix behind the government office.,Traffic Signals
Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society. Please update on the status of this complaint.,Other
"The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents. Please update on the status of this complaint.",Other
"I want to report that The garbage collection vehicle comes at unpredictable times, sometimes at 5 AM or sometimes not at all.",Garbage Collection
Please take strict action. No supply for forty eight hours in block B. Total crisis situation.,Water Supply
Our entire locality is suffering. The power company workers left the high-voltage junction box completely unlocked and open to kids.,Electricity
I want to report that No technician has arrived to fix the underground cable fault near the railway station area.,Electricity
"The security guard at the municipal garden is always sleeping, and anti-social elements drink alcohol there.",Parks & Gardens
High voltage line has snapped and fallen onto the wet road near the central bus stop. Emergency!,Electricity
"Trees are completely blocking the street lights near the library, making the footpath very dark.",Street Lighting
Our entire phase is down while the opposite side of the road has full power supply. Please check. It is worse over the weekend.,Electricity
"Writing this out of absolute desperation. Contaminated water coming from municipal lines, smells like sewage. People in our society are falling sick.",Water Supply
"signals are completely out of sync along the entire commercial market lane, creating a bottleneck. this is happening at the central bus stop.",Traffic Signals
The public library building has developed major cracks on the walls and needs immediate structural audit. Needs fix near Green Valley Apartments.,Other
"Extremely disappointed with municipal services. We requested new street lights for our village road six months ago, but still nothing has been done. Looking forward to a speedy resolution.",Street Lighting
"Very low pressure in the water lines near St. Mary's School, cannot fill our overhead tanks. It is worse over the weekend.",Water Supply
The local park is completely dark after 6 PM because none of the internal lights are operational. Please take immediate action.,Street Lighting
"our entire locality is suffering. garbage bins are overflowing near st. mary's school, causing a terrible smell for the school children. it has been happening for a long time.",Garbage Collection
Why is nothing being done about this? The traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop. The concerned department must check this today.,Traffic Signals
An emergency situation has arisen. Potholes on the flyover are causing massive traffic jams during peak morning rush hours. The concerned department must check this today.,Roads & Potholes
The bus conductors are routinely refusing to issue tickets to students and senior citizens. Please take immediate action.,Public Transport
The entire stretch from the railway station to the market is full of deep patches and potholes. Hoping for a quick response.,Roads & Potholes
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area. It has been happening for a long time.,Other
Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road. It is worse in this scorching heat.,Roads & Potholes
This is a recurring problem. Five consecutive street light poles are non-functional in Sunrise Housing Society main lane. The concerned department must check this today.,Street Lighting
High voltage line has snapped and fallen onto the wet road near the central bus stop. Needs fix along the commercial market lane.,Electricity
"the commercial market area is flooded with smelly sewer water, customers cannot enter shops. this is happening right outside the railway station.",Sewage & Drainage
"Signals are completely out of sync along the entire commercial market lane, creating a bottleneck. This is happening by the sector 4 intersection.",Traffic Signals
Garbage bins are overflowing near St. Needs fix near the local children's park.,Garbage Collection
"The security guard at the municipal garden is always sleeping, and anti-social elements drink alcohol there. This is happening at the central bus stop.",Parks & Gardens
Illegal hoardings and banners are blocking the view of drivers near the dangerous road curve.,Other
Power cut during the night time is making it impossible to sleep in this extreme summer heat.,Electricity
Both red and green lights are glowing simultaneously at the railway station crossing signal. Needs fix near the local children's park.,Traffic Signals
"Why is nothing being done about this? Stray cattle are sitting in teh middle of the national highway, causing massive traffic hazards.",Other
Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity. It is worse with the upcoming festival season.,Street Lighting
The public library building has developed major cracks on the walls and needs immediate structural audit. Needs fix outside the nursing home.,Other
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. This is happening near the local children's park.",Public Transport
"Unmarked speed breakers near the children's park are a major safety hazard, especially at night time. Looking forward to a speedy resolution.",Roads & Potholes
Our entire locality is suffering. gargabe truck driver driving very recklessly inside the residential complex lines. Kindly address this on high priority.,Garbage Collection
"Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. Needs fix outside the nursing home.",Water Supply
gargabe truck driver driving very recklessly inside the residential complex lines. This is happening near the metro station gate.,Garbage Collection
Urgent attention needed. No door-to-door trash collection in our village for the past one week. Where should we throw our waste?,Garbage Collection
Reminder for the authority: There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic. No one is listening to our requests.,Traffic Signals
Illegal hoardings and banners are blocking the view of drivers near the dangerous rod curve. Needs fix by the main vegetable market.,Other
Please resolve this as soon as possible. No water since last 3 days in our village area. The tankers are charging too much money. It's getting worse day by day.,Water Supply
"Contaminated water coming from municipal lines, smells like sewage. Needs fix near the petrol pump.",Water Supply
"Chemical smoke coming from a small factory inside the residential zone, making it hard to breathe. Needs fix outside the nursing home.",Other
The bus conductors are routinely refusing to issue tickets to students and senior citizens.,Public Transport
"No traffic police or functional signals near the community hospital, causing ambulance delays. Needs fix behind the government office.",Traffic Signals
Huge pile of waste collecting near the central bus stop. Dogs and cows are scattering it everywhere. We pay our taxes regularly for this?,Garbage Collection
The entire stretch from the railway station to the market is full of deep patches and potholes. This is happening by the main vegetable market.,Roads & Potholes
"No bus connectivity or routes available for our village, we have to walk 3 kilometers to the highway. It is worse which is an emergency situation.",Public Transport
"Highly frustrated with the current state. Trees are completely blocking the street lights near the library, making the footpath very dark.",Street Lighting
Kindly look into this issue: Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society. Hoping for a quick response.,Sewage & Drainage
"Dear authorities, please fix this. Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now!",Water Supply
"The road outside the hospital is completely broken, making it extremely dangerous for ambulances. Kindly address this on high priority.",Roads & Potholes
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. Needs fix outside the nursing home.",Public Transport
"Dear authorities, please fix this. A manhole cover is completely missing on the main road near the railway station. Highly dangerous!",Sewage & Drainage
"I want to report that Streetlights are blinking continuously near the community hospital, causing visibility issues for drivers.",Street Lighting
No technician has arrived to fix the underground cable fault near the railway station area. Kindly address this on high priority.,Electricity
The contractor left the road half-tarred near Green Valley Apartments. Needs fix near the local children's park.,Roads & Potholes
"Trees are completely blocking the street lights near the library, making the footpath very dark. It has been happening for a long time.",Street Lighting
Writing this out of absolute desperation. The entire stretch from the railway station to the market is full of deep patches and potholes.,Roads & Potholes
"Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now! It is worse over the weekend.",Water Supply
The power company workers left the high-voltage junction box completely unlocked and open to kids. This needs to be fixed before an accident happens.,Electricity
Our entire locality is suffering. No toilet facilities or drinking water available for visitors inside the massive regional park.,Parks & Gardens
"Highly frustrated with the current state. The traffic signal at the main market intersection is completely dead, causing massive gridlock.",Traffic Signals
"Dear authorities, please fix this. The municipal workers refused to collect segregated waste from Sunrise Housing Society today. We pay our taxes regularly for this?",Garbage Collection
metro feeder buses are charging excess fares from passengers illegally during the festival season. this is happening near the hanuman temple.,Public Transport
"Dear authorities, please fix this. The power company workers left the high-voltage junction box completely unlocked and open to kids.",Electricity
"No working lights on the national highway stretch, leading to minor accidents during night time. It is worse over the weekend.",Street Lighting
Extremely disappointed with municipal services. All the swings and slides are broken and rusted in the municipal park near St. Mary's School. It's getting worse day by day.,Parks & Gardens
high voltage line has snapped and fallen onto the wet road near the central bus stop. emergency! this needs to be fixed before an accident happens.,Electricity
The electricity transformer near St. Mary's School is sparking loudly and emitting a burning smell. This needs to be fixed before an accident happens.,Electricity
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. needs fix near st. mary's school.,Traffic Signals
Muddy and slippery tracks in our village because the main road was never paved by the municipality.,Roads & Potholes
"The crossing light remains red for too long, causing frustrated drivers to break the rules constantly.",Traffic Signals
"Dear authorities, please fix this. Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road. Please update on the status of this complaint.",Roads & Potholes
"The park benches are broken and covered in bird droppings, nobody can sit there.",Parks & Gardens
This is a recurring problem. Someone dumped electronic waste and old furniture right on the pavement near the market.,Garbage Collection
"Reminder for the authority: The traffic signal at the main market intersection is completely dead, causing massive gridlock. This is completely unacceptable.",Traffic Signals
Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society.,Sewage & Drainage
Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. Please take immediate action.,Garbage Collection
"New LED lights installed are very dim, they do not illuminate the road properly at all.",Street Lighting
"Complaining on behalf of all residents. Buses are running extremely late, I had to wait for more than an hour to go to the hospital.",Public Transport
"Signals are completely out of sync along the entire commercial market lane, creating a bottleneck. Please update on the status of this complaint.",Traffic Signals
Massive crater in the middle of the road near the central bus stop. Someone will get seriously hurt. This is happening outside the community hospital.,Roads & Potholes
"Every time it rains, the drains overflow and water enters our houses. We need a permanent solution. It has been happening for a long time.",Sewage & Drainage
"Please resolve this as soon as possible. Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. Looking forward to a speedy resolution.",Garbage Collection
"The park benches are broken and covered in bird droppings, nobody can sit there. Needs fix at the central bus stop.",Parks & Gardens
This is a recurring problem. The tap water is completely muddy and brown today. We can't even use it for washing.,Water Supply
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. This needs to be fixed before an accident happens.,Public Transport
No toilet facilities or drinking water available for visitors inside the massive regional park. Needs fix on the national highway near the toll booth.,Parks & Gardens
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area. This is happening behind the government office.,Other
Deep ditches on the corner of the market lane are causing vehicles to get stuck frequently. It is worse over the weekend.,Roads & Potholes
gargabe truck driver driving very recklessly inside the residential complex lines. It is worse early in the morning.,Garbage Collection
Writing this out of absolute desperation. Our entire phase is down while the opposite side of the road has full power supply. Please check. The concerned department must check this today.,Electricity
"No working lights on the national highway stretch, leading to minor accidents during night time. This is happening outside the nursing home.",Street Lighting
The electricity transformer near St. Mary's School is sparking loudly and emitting a burning smell. Please update on the status of this complaint.,Electricity
"Terrible road conditions on the national highway, causing multiple minor accidents every day. This is happening outside the community hospital.",Roads & Potholes
Why is nothing being done about this? An electric pole is leaning dangerously over the road outside the community hospital. Big hazard!,Electricity
"The automatic signal system is failing during rush hours, manual intervention is badly needed. No one is listening to our requests.",Traffic Signals
The gutters are completely clogged with plastic and garbage near the central bus stop. It is worse which is an emergency situation.,Sewage & Drainage
"We requested new street lights for our village road six months ago, but still nothing has been done. It is worse with the upcoming festival season.",Street Lighting
"Complaining on behalf of all residents. Terrible road conditions on the national highway, causing multiple minor accidents every day.",Roads & Potholes
The lamp post near St. Mary's School has an exposed live wire hanging down. This is an emergency!,Street Lighting
Complaining on behalf of all residents. The tap water is completely muddy and brown today. We can't even use it for washing.,Water Supply
"Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. It is worse during heavy rains yesterday.",Water Supply
The main fuse box of our street has caught fire due to overloading during the festival lights decoration.,Electricity
"Writing this out of absolute desperation. The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents. Kindly address this on high priority.",Other
"Highly frustrated with the current state. The bus shelter near the railway station has no roof, commuters have to stand under the heavy rain. This needs to be fixed before an accident happens.",Public Transport
Public dustbins are completely broken and missing near the railway station area. We pay our taxes regularly for this?,Garbage Collection
Reminder for the authority: Mosquito breeding ground created due to stagnant drain water behind Green Valley Apartments.,Sewage & Drainage
This is a recurring problem. Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. We pay our taxes regularly for this?,Public Transport
"the traffic signal at the main market intersection is completely dead, causing massive gridlock. needs fix by the sector 4 intersection.",Traffic Signals
The local city bus completely skipped the central bus stop thrice this morning during rush hour.,Public Transport
No technician has arrived to fix the underground cable fault near the railway station area. Needs fix near the public library.,Electricity
The power company workers left the high-voltage junction box completely unlocked and open to kids. This is happening in Sunrise Housing Society.,Electricity
The digital electricity meter is running exceptionally fast and generating highly inflated bills. This is completely unacceptable.,Electricity
Public washrooms near the central bus stop are absolutely filthy and have no running water. Looking forward to a speedy resolution.,Other
"The drainage construction work was left incomplete, leaving a massive open trench near the highway. Needs fix by the main vegetable market.",Sewage & Drainage
"An emergency situation has arisen. No bus connectivity or routes available for our village, we have to walk 3 kilometers to the highway. We pay our taxes regularly for this?",Public Transport
"No working lights inside the ladies' park, making it completely unusable and unsafe after dark. Needs fix in Sunrise Housing Society.",Parks & Gardens
The tap water is completely muddy and brown today. We can't even use it for washing. It is worse especially at night time.,Water Supply
"New LED lights installed are very dim, they do not illuminate the road properly at all. This is happening near Green Valley Apartments.",Street Lighting
Please take strict action. Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity. This needs to be fixed before an accident happens.,Street Lighting
Frequent voltage fluctuations are damaging home appliances like refrigerators and ACs near the market. This is happening near the public library.,Electricity
"Why is nothing being done about this? Public buses are dangerously overcrowded, people are hanging out of teh footboard during peak hours. It's getting worse day by day.",Public Transport
Our entire locality is suffering. The drivers are stopping the public buses in the middle of the road instead of the designated bus bay. Looking forward to a speedy resolution.,Public Transport
Why is nothing being done about this? Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately.,Sewage & Drainage
"The automatic signal system is failing during rush hours, manual intervention is badly needed. Needs fix outside the community hospital.",Traffic Signals
The entire stretch from the railway station to the market is full of deep patches and potholes. Needs fix outside the community hospital.,Roads & Potholes
Why is nothing being done about this? High voltage line has snapped and fallen onto the wet road near the central bus stop. Emergency!,Electricity
A manhole cover is completely missing on the main road near the railway station. Needs fix near the local children's park.,Sewage & Drainage
The traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop. Please update on the status of this complaint.,Traffic Signals
The traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop. Needs fix along the commercial market lane.,Traffic Signals
Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. Hoping for a quick response.,Garbage Collection
"No working lights on the national highway stretch, leading to minor accidents during night time. This is happening behind the government office.",Street Lighting
The blinking yellow cautionary light is not working during late night hours at the dangerous curve. Looking forward to a speedy resolution.,Traffic Signals
Metro feeder buses are charging excess fares from passengers illegally during the festival season. It is worse causing minor accidents.,Public Transport
"I want to report that Reckless driving by the municipal bus driver near St. Mary's School, almost hit a cyclist today. Hoping for a quick response.",Public Transport
The street inside our housing society entrance is completely worn out. Senior citizens cannot walk safely. It is worse over the weekend.,Roads & Potholes
"Reminder for the authority: We requested new street lights for our village road six months ago, but still nothing has been done. Looking forward to a speedy resolution.",Street Lighting
The newly installed smart signals are not working properly and causing confusion among drivers. Needs fix right outside the railway station.,Traffic Signals
Illegal hoardings and banners are blocking the view of drivers near the dangerous road curve. This is happening in our village square.,Other
The city bus tracking app is showing completely wrong timings and live locations for all routes. It is worse in this scorching heat.,Public Transport
"Streetlights are blinking continuously near the community hospital, causing visibility issues for drivers. It is worse during heavy rains yesterday.",Street Lighting
Deep ditches on the corner of the market lane are causing vehicles to get stuck frequently. Needs fix on teh bridge.,Roads & Potholes
The bus conductors are routinely refusing to issue tickets to students and senior citizens. This is happening by the sector 4 intersection.,Public Transport
The green belt area along the highway is being encroached upon by illegal vehicle parking. Hoping for a quick response.,Parks & Gardens
the entire street is littered with plastic bags after the weekend festival celebration. needs fix along the commercial market lane.,Garbage Collection
"The water timing was changed without telling us. Now it comes at 2 AM in the night time, this is ridiculous. It is worse during peak rush hours.",Water Supply
The municipal workers refused to collect segregated waste from Sunrise Housing Society today.,Garbage Collection
illegal street vendors have completely encroached upon the footpaths near the railway station. needs fix at the central bus stop.,Other
Benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden. Needs fix near the petrol pump.,Parks & Gardens
No technician has arrived to fix the underground cable fault near the railway station area. It is worse during heavy rains yesterday.,Electricity
Urgent attention needed. There is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot.,Other
"elecricity bill not delivered on time, and now they are charging a heavy late fee penalty.",Electricity
The entire street is littered with plastic bags after the weekend festival celebration. No one is listening to our requests.,Garbage Collection
"Stray cattle are sitting in the middle of the national highway, causing massive traffic hazards.",Other
"Public buses are dangerously overcrowded, people are hanging out of the footboard during peak hours. Hoping for a quick response.",Public Transport
frequent voltage fluctuations are damaging home appliances like refrigerators and acs near the market. needs fix in sunrise housing society.,Electricity
No technician has arrived to fix the underground cable fault near the railway station area. This is happening near the local children's park.,Electricity
Reminder for the authority: Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society.,Sewage & Drainage
