complaint,department,severity
Weekend crowds leave the park in front of the primary health centre full of trash by evening with no cleanup afterward.,Parks & Gardens,Low
"Power supply on the highway bypass road keeps failing during every rainfall, we need underground cabling.",Electricity,Medium
"The platform at behind the fish market station has no shelter, passengers get drenched during rains.",Public Transport,Medium
We request better security in the park close to the fire station as incidents of theft have increased recently.,Parks & Gardens,Low
"There has been complete darkness in front of the primary health centre for over two weeks now, please send an electrician.",Street Lighting,Low
"Overcrowded buses on the MG Road route are becoming unsafe, especially during rush hour.",Public Transport,High
"traffic light near behind the fish market is stuck on red always, cars just ignore it now",Traffic Signals,Medium
"There are no streetlights or road markings on the newly built road near the metro station, very risky at night.",Roads & Potholes,Medium
The lake inside the garden near Sunrise Public School is filled with plastic waste and looks neglected.,Parks & Gardens,High
"After last night's storm, the traffic light Lakeview Apartments went completely dark and stayed that way.",Traffic Signals,Medium
"the dustbin near near Sunrise Public School is broken and overflowing since many days, plz send a truck",Garbage Collection,High
"There has been complete darkness in Old Town market for over two weeks now, please send an electrician.",Street Lighting,Low
"The bus to close to the college gate has not come on schedule for the past week, commuters are stranded.",Public Transport,Medium
Illegal construction is taking place near the metro station without any approved building permit.,Other,High
There is no bus service at all connecting our village to behind the fish market after 7pm.,Public Transport,Medium
Auto and cab drivers near Lakeview Apartments refuse to go by meter and overcharge passengers.,Public Transport,Medium
"Please replace the broken street lamp near the temple, it has been dead for over a month.",Street Lighting,Medium
Pedestrians are forced to run across Sector 12 since the walk signal never turns green.,Traffic Signals,High
"the signal near the railway station shows green in all directions at once, this is very confusing and unsafe",Traffic Signals,High
Please clean up the litter and broken glass scattered across the park in front of our apartment building.,Parks & Gardens,Low
"Medical waste from a nearby clinic is being dumped with regular garbage on the service road, very unsafe.",Garbage Collection,High
"There is a foul smell coming from the uncollected garbage close to the fire station, it's unbearable.",Garbage Collection,Medium
Voltage fluctuation Sector 12 burnt out our refrigerator and television last week.,Electricity,Medium
Please install proper benches and lighting in the community garden in front of the primary health centre.,Parks & Gardens,Low
School children outside City Hospital have no drinking water available during exam days.,Water Supply,High
"The park pathway lights MG Road are all switched off, making evening walks unsafe for elderly people.",Street Lighting,High
"We need a signal at the intersection near at the bus stop on Church Street, it is extremely dangerous during school hours.",Traffic Signals,High
"pls take action on the illegal liquor shop operating near in Old Town market, its disturbing the area",Other,Medium
Several streetlight poles on Ring Road are flickering and going off randomly every night.,Street Lighting,Low
"Gardeners have not visited the park near Sunrise Public School in months, hedges are overgrown and unkempt.",Parks & Gardens,High
"The jogging track lights near Lotus Apartments are not working, making evening exercise unsafe.",Parks & Gardens,High
"The bus stop sign in front of the primary health centre has faded completely, new commuters can't identify the stop.",Public Transport,Low
Waste water from the sewage treatment plant is leaking into the nearby pond on the highway bypass road.,Sewage & Drainage,Medium
The signal at the bus stop on Church Street was knocked down by a truck last week and has not been replaced.,Traffic Signals,High
We are getting muddy and smelly water in our taps Shanti Nagar. This is causing a lot of trouble.,Water Supply,High
"The ticket counter at in Nehru Colony station remains closed most mornings, causing long queues.",Public Transport,Medium
"We have raised this issue thrice already, the streetlight in the industrial area is still not repaired.",Street Lighting,Medium
"Sir, our society near the metro station has not had its garbage picked up for over a week now.",Garbage Collection,Medium
"The underground drainage pipe Lakeview Apartments has collapsed, creating a huge sinkhole on the road.",Sewage & Drainage,Critical
"Rainwater mixed with garbage near the metro station has created a filthy, smelly puddle on the street.",Garbage Collection,Medium
"Please install new streetlights along the road near Lotus Apartments, there have been robberies at night.",Street Lighting,Low
The lighting at the bus stop near the church junction has failed and commuters wait in complete darkness.,Street Lighting,Low
"The meter reading close to the college gate was never taken this quarter, yet we got an estimated bill that's too high.",Electricity,Medium
There has been no water supply in front of the primary health centre since Monday. Hope this gets resolved before something bad happens.,Water Supply,High
"Power supply near the temple keeps failing during every rainfall, we need underground cabling.",Electricity,Medium
"Someone is dumping slaughterhouse waste near the park on the service road, it's extremely unhygienic.",Garbage Collection,Medium
The garden near Sunrise Public School used to be well maintained but now it is full of dry patches and litter.,Parks & Gardens,High
Foul smelling gutter water is entering our compound in the industrial area through a cracked pipe.,Sewage & Drainage,Medium
Auto and cab drivers near near the bus depot refuse to go by meter and overcharge passengers.,Public Transport,Medium
"please add more plants and flowers in the park at the railway crossing, it looks very neglected now",Parks & Gardens,Low
Nobody segregates the waste properly close to the fire station and it is just dumped in one big heap.,Garbage Collection,Medium
An accident nearly happened in Nehru Colony last night because the road was completely dark.,Street Lighting,High
The dumping ground near in Old Town market is overflowing and residents are complaining of the stench.,Garbage Collection,High
"The traffic signal in front of Ambedkar Park is hidden behind an overgrown tree, drivers can't see it in time.",Traffic Signals,Medium
the drain near Shanti Nagar is blocked with plastic and overflowing into our compound,Sewage & Drainage,High
Illegal power connections at the railway crossing are overloading the local transformer and causing frequent trips.,Electricity,Medium
"The road leading to the hospital near Gandhi Chowk is full of potholes, ambulances struggle to pass.",Roads & Potholes,High
why is water supply cut every single day Rajpuri village without any notice given to us,Water Supply,Medium
A major water pipeline has burst near St. Mary's convent school and water is being wasted on the road. Please send someone soon.,Water Supply,High
Rats and cockroaches are coming from the open drain MG Road into our homes.,Sewage & Drainage,High
"Please fix the timer on the streetlights close to the fire station, they switch on only at midnight now.",Street Lighting,Low
"Tar has washed away completely from the road near the government hospital, only stones remain now.",Roads & Potholes,High
The whole colony in Old Town market has been without power since last evening due to a tripped line.,Electricity,Medium
"Rainwater mixed with garbage in Nehru Colony has created a filthy, smelly puddle on the street.",Garbage Collection,Medium
"Please install new streetlights along the road near the church junction, there have been robberies at night.",Street Lighting,Low
Please deploy a suction machine to clear the choked drain behind the fish market before the next rains.,Sewage & Drainage,Medium
We had to buy water cans for a week because the municipal supply close to the fire station completely dried up.,Water Supply,Medium
"An auto rickshaw overturned yesterday due to the massive pothole outside the mosque, someone was injured.",Roads & Potholes,High
During peak hours the traffic light MG Road malfunctions and creates chaos on the road.,Traffic Signals,Medium
Water supply pipe passing through the drain in the slum area behind our society has cracked and is a serious contamination risk.,Water Supply,High
"An open drain runs right past the bus stop close to the fire station, commuters have to step over sewage.",Sewage & Drainage,Medium
"traffic light near near the government hospital is stuck on red always, cars just ignore it now",Traffic Signals,High
"Half the streetlights on the highway stretch near Gandhi Chowk are non-functional, very risky for drivers.",Street Lighting,Low
"our society entrance near the church junction has no light at all after 9pm, security guard cant see anything",Street Lighting,Low
The open gym equipment near Lotus Apartments is rusted and some machines are completely non-functional.,Parks & Gardens,Low
Low water pressure at the railway crossing is making it impossible to fill even a bucket.,Water Supply,Medium
The drain outside the hospital in the slum area behind our society is overflowing and creating unhygienic surroundings for patients.,Sewage & Drainage,High
Streetlight cables behind the community hall were stolen last week and the area has been dark since.,Street Lighting,Medium
An abandoned building near Sunrise Public School has become a hotspot for illegal activities at night.,Other,High
The substation near Lakeview Apartments trips almost every evening during peak usage hours.,Electricity,Medium
"electricity keeps going on and off every few minutes near near the panchayat office, very frustrating",Electricity,Medium
"The bus conductor in the industrial area misbehaved with an elderly passenger, this is unacceptable.",Public Transport,Medium
"The road divider on Ring Road has been damaged and never fixed, causing wrong-side driving.",Roads & Potholes,Medium
"After the recent rains, the road in Old Town market has turned into a muddy mess with deep potholes.",Roads & Potholes,Medium
We request better security in the park in Phase 2 of Divine Enclave society as incidents of theft have increased recently.,Parks & Gardens,Low
During heavy rains the drains near Sunrise Public School overflow within minutes causing severe flooding.,Sewage & Drainage,Critical
"A stray cattle herd roams freely Rajpuri village, causing traffic disruptions and damaging crops.",Other,Medium
The bridge approach road outside the mosque has sunk in the middle and cars are scraping their base.,Roads & Potholes,Medium
The signal at Rajpuri village has been under 'temporary repair' for six months now with no progress.,Traffic Signals,Medium
"An open drain runs right past the bus stop Shanti Nagar, commuters have to step over sewage.",Sewage & Drainage,Medium
"pls do something, garbage smell is entering our house near outside the mosque its disgusting",Garbage Collection,Medium
"There is no traffic signal at the busy junction on the highway bypass road, accidents happen almost every week.",Traffic Signals,Critical
"The platform at on the flyover near Sector 9 station has no shelter, passengers get drenched during rains.",Public Transport,Medium
"Overcrowded buses on the Sector 12 route are becoming unsafe, especially during rush hour.",Public Transport,High
The playground on Ring Road has been taken over by unauthorized parking of commercial vehicles.,Other,Medium
"Contaminated water is coming from the municipal pipeline Green Valley Society, several people fell sick.",Water Supply,High
Please install proper benches and lighting in the community garden near the panchayat office.,Parks & Gardens,Low
the park near near the vegetable mandi is full of garbage and drunkards hang around there at night,Parks & Gardens,Medium
"Overloaded shared autos near at the bus stop on Church Street are extremely unsafe, especially for women travelling alone.",Public Transport,High
The society's septic tank outside City Hospital is overflowing and needs urgent desludging.,Sewage & Drainage,High
The water supply timing has changed suddenly and nobody informed the residents near Sunrise Public School.,Water Supply,High
"Encroachment by vendors in Rampur village has blocked the entire footpath, pedestrians walk on the road.",Other,High
The feeder bus service to the metro station on Ring Road has been discontinued without explanation.,Public Transport,Medium
"The park gate outside the mosque has been broken for weeks, stray animals wander in freely.",Parks & Gardens,Medium
garbage van comes very late at night near Lotus Apartments and disturbs everyone with the noise,Garbage Collection,Medium
There have been three accidents this month at the junction near Sunrise Public School due to the faulty signal.,Traffic Signals,High
"A live wire fell on the road near the panchayat office during the storm, we fear someone could get electrocuted.",Electricity,Critical
Pedestrians are forced to run across near the railway station since the walk signal never turns green.,Traffic Signals,High
"During Diwali the lights in Rampur village were working, but they have been off ever since.",Street Lighting,Low
An electrical fault in the traffic signal on Station Road caused a short circuit spark last evening.,Traffic Signals,Critical
The society's septic tank near Gandhi Chowk is overflowing and needs urgent desludging.,Sewage & Drainage,High
The lighting at the bus stop near the vegetable mandi has failed and commuters wait in complete darkness.,Street Lighting,Low
"Flies and mosquitoes are breeding in the garbage heap on the highway bypass road, we fear disease outbreak.",Garbage Collection,High
A group of anti-social elements gathers behind the fish market every night and creates a nuisance.,Other,Medium
"An open manhole in front of our apartment building is extremely dangerous, a child almost fell into it yesterday.",Sewage & Drainage,Critical
The sewage line in front of Ambedkar Park has overflowed and dirty water is flooding the street.,Sewage & Drainage,Critical
"There is no light near the temple steps near the church junction, elderly devotees keep stumbling in the dark.",Street Lighting,Low
"There is no traffic signal at the busy junction at the railway crossing, accidents happen almost every week.",Traffic Signals,Critical
"The water tanker did not come to on the service road for a fortnight, and we have run out of drinking water.",Water Supply,Medium
"Contaminated water is coming from the municipal pipeline near the government hospital, several people fell sick.",Water Supply,High
Frequent breakdowns of the local buses near near the temple are causing huge delays for commuters.,Public Transport,Medium
Frequent power cuts near Lotus Apartments are damaging our appliances due to voltage fluctuation.,Electricity,Medium
We request a permanent solution for garbage disposal in the industrial area instead of irregular pickups.,Garbage Collection,Medium
"During the wedding season, frequent power cuts near the vegetable mandi are ruining events for many families.",Electricity,Medium
Cows and stray animals are eating from the open garbage dump Sector 12 daily.,Garbage Collection,Medium
Water supply pipe passing through the drain in front of Ambedkar Park has cracked and is a serious contamination risk.,Water Supply,High
"Cars turning right at MG Road have no dedicated signal, causing frequent near-misses.",Traffic Signals,Medium
The service road next to the highway Green Valley Society has huge cracks running across it.,Roads & Potholes,Medium
"pls do something, garbage smell is entering our house near outside City Hospital its disgusting",Garbage Collection,High
"The park gate near St. Mary's convent school has been broken for weeks, stray animals wander in freely.",Parks & Gardens,High
"The garbage dump on Station Road is right next to the school, children have to breathe the stink daily.",Garbage Collection,Medium
"Contaminated water is coming from the municipal pipeline near Lotus Apartments, several people fell sick.",Water Supply,High
"The market street near St. Mary's convent school goes completely dark after 8pm, shopkeepers are worried about theft.",Street Lighting,High
"Unauthorized hoardings in Kalyan Nagar are blocking the view at a busy junction, causing safety issues.",Other,High
Water logging on the road near the railway station hides the potholes underneath and vehicles keep getting stuck.,Roads & Potholes,Medium
"After last night's storm, the traffic light on Station Road went completely dark and stayed that way.",Traffic Signals,Medium
A property dispute has led to an illegal wall being built blocking the common pathway in front of Ambedkar Park.,Other,Medium
Drivers routinely jump the red light Rajpuri village because there is no camera or officer present.,Traffic Signals,Medium
"the manhole cover near in Nehru Colony is missing since last week, its very risky at night",Sewage & Drainage,Medium
The whole colony near the government hospital has been without power since last evening due to a tripped line.,Electricity,High
An abandoned building outside the mosque has become a hotspot for illegal activities at night.,Other,Medium
"A stray cattle herd roams freely behind the community hall, causing traffic disruptions and damaging crops.",Other,Medium
"There is stagnant sewage water in Rampur village right next to the children's play area, very unsafe.",Sewage & Drainage,High
"The metro service near in Rampur village has been irregular, with long gaps between trains lately.",Public Transport,Medium
"Beggars and vendors crowd the temple entrance in front of the primary health centre, making it difficult for devotees to enter.",Other,Medium
The road in Old Town market has not been repaired since the monsoon and is full of craters.,Roads & Potholes,Medium
"An auto rickshaw overturned yesterday due to the massive pothole at the bus stop on Church Street, someone was injured.",Roads & Potholes,High
"Contaminated water is coming from the municipal pipeline behind the fish market, several people fell sick.",Water Supply,High
"Contaminated water is coming from the municipal pipeline MG Road, several people fell sick.",Water Supply,High
We request a dedicated bus lane near Rajpuri village to reduce delays during office hours.,Public Transport,Medium
Stray dogs near St. Mary's convent school have become aggressive and have bitten two children this month.,Other,High
"Sir, our society outside the mosque has not had its garbage picked up for over a week now.",Garbage Collection,Medium
Sewage water has entered ground floor homes near the metro station after last night's heavy rain.,Sewage & Drainage,High
Streetlight cables near the government hospital were stolen last week and the area has been dark since.,Street Lighting,High
"Please install new streetlights along the road MG Road, there have been robberies at night.",Street Lighting,Low
The dumping ground near behind the fish market is overflowing and residents are complaining of the stench.,Garbage Collection,High
Repeated patchwork on the road near the metro station keeps washing away within days of every rain.,Roads & Potholes,Medium
"The park pathway lights near the church junction are all switched off, making evening walks unsafe for elderly people.",Street Lighting,High
There has been no water supply behind the community hall since last night.,Water Supply,Medium
A large pit has formed MG Road due to a burst pipeline and it is a danger for vehicles.,Roads & Potholes,Critical
"We need a signal at the intersection near outside the mosque, it is extremely dangerous during school hours.",Traffic Signals,High
"The bus stop sign outside the mosque has faded completely, new commuters can't identify the stop.",Public Transport,Low
"Exposed electrical wires behind the fish market are hanging low, extremely dangerous for children playing nearby.",Electricity,High
There is no bus service at all connecting our village to on Ring Road after 7pm.,Public Transport,Medium
"Only 2 out of 10 poles are working Rajpuri village, the rest have been dark for months.",Street Lighting,Low
"The garbage collector demands extra money for pickup near St. Mary's convent school, otherwise he skips our house.",Garbage Collection,High
During Ganesh festival the water tanker skipped our lane MG Road for three days straight.,Water Supply,Medium
i think there is some leakage underground behind the community hall bcoz road is always wet even in summer,Water Supply,Medium
"Please fix the timer on the streetlights Shanti Nagar, they switch on only at midnight now.",Street Lighting,Low
The drain outside the hospital at the railway crossing is overflowing and creating unhygienic surroundings for patients.,Sewage & Drainage,High
Please regulate the noise from the DJ played during the wedding function near Gandhi Chowk till midnight.,Other,Medium
Noise pollution from the loudspeaker at the temple in the slum area behind our society continues late into the night.,Other,Medium
The children's park Rajpuri village has broken swings and rusty equipment that could hurt kids.,Parks & Gardens,Medium
During heavy rains the drains Rajpuri village overflow within minutes causing severe flooding.,Sewage & Drainage,Critical
Our entire street Shanti Nagar smells of sewage after the pipeline burst two days ago.,Sewage & Drainage,Critical
We had to buy water cans for a week because the municipal supply near the railway station completely dried up.,Water Supply,Medium
garbage van comes very late at night close to the college gate and disturbs everyone with the noise,Garbage Collection,Medium
Mosquito fogging has not been done near Sunrise Public School despite several dengue cases reported nearby.,Other,High
The e-ticketing machine at Sector 12 station has been out of order for over a month now.,Public Transport,Medium
Our electricity bill near the metro station shows an abnormally high reading despite minimal usage this month.,Electricity,Medium
why is water supply cut every single day on Ring Road without any notice given to us,Water Supply,Medium
"An unauthorized religious structure has come up overnight in Old Town market, blocking half the road.",Other,Medium
"There is no power backup at the hospital in front of the primary health centre during outages, this endangers patients.",Electricity,High
People are burning garbage openly close to the college gate causing thick smoke and bad smell every evening.,Garbage Collection,Medium
"please add more plants and flowers in the park in Rampur village, it looks very neglected now",Parks & Gardens,Low
"Gardeners have not visited the park Rajpuri village in months, hedges are overgrown and unkempt.",Parks & Gardens,Low
"Construction debris has been left on the road in Rampur village for weeks, blocking half the lane.",Roads & Potholes,Medium
A major water pipeline has burst near the government hospital and water is being wasted on the road. Requesting the concerned department to act fast.,Water Supply,High
"our society entrance near the vegetable mandi has no light at all after 9pm, security guard cant see anything",Street Lighting,Low
"The garbage collector demands extra money for pickup close to the fire station, otherwise he skips our house.",Garbage Collection,Medium
Foul smelling gutter water is entering our compound in Nehru Colony through a cracked pipe.,Sewage & Drainage,Medium
Long queues form daily outside the mosque because the signal cycle is poorly timed for the traffic volume.,Traffic Signals,Medium
Commuters at near the temple have been complaining about rash driving by local bus drivers.,Public Transport,High
"This is the third complaint about the same pothole close to the fire station, still nothing has been done.",Roads & Potholes,Medium
Kids cannot play in the evening Rajpuri village because there is no lighting on the ground.,Street Lighting,Low
Repeated patchwork on the road MG Road keeps washing away within days of every rain.,Roads & Potholes,Medium
"The ticket counter at near the temple station remains closed most mornings, causing long queues.",Public Transport,Medium
The signal near the railway crossing near the metro station does not sync properly with the gate timings.,Traffic Signals,Medium
People are burning garbage openly Sector 12 causing thick smoke and bad smell every evening.,Garbage Collection,Medium
"The traffic signal near the bus depot has not been working since Diwali night, causing massive jams.",Traffic Signals,Medium
Passengers are forced to travel on the footboard on the near Sunrise Public School route due to overcrowding.,Public Transport,High
"We need a signal at the intersection near in the industrial area, it is extremely dangerous during school hours.",Traffic Signals,High
"An unauthorized religious structure has come up overnight near the metro station, blocking half the road.",Other,Medium
"Only 2 out of 10 poles are working close to the college gate, the rest have been dark for months.",Street Lighting,Low
"please increase the number of buses on this route, its always packed near near the bus depot",Public Transport,Medium
An abandoned building near the metro station has become a hotspot for illegal activities at night.,Other,Medium
"There is sewage mixing into the drinking water pipeline on the flyover near Sector 9, this is a health hazard.",Water Supply,Medium
Garbage is piling up near Gandhi Chowk and stray dogs are scattering it all over the street.,Garbage Collection,Medium
"pls do something, garbage smell is entering our house near Shanti Nagar its disgusting",Garbage Collection,Medium
"There is a burning smell coming from the electric pole behind the fish market, please send someone immediately.",Electricity,Medium
"There is no proper drainage system near the government hospital, every monsoon the lane gets waterlogged badly.",Sewage & Drainage,High
"Kids' play area close to the college gate has broken slides with sharp edges, very dangerous for children.",Parks & Gardens,High
"During the wedding season, frequent power cuts in front of Ambedkar Park are ruining events for many families.",Electricity,Medium
"Construction waste has been dumped illegally behind the fish market, blocking half the road.",Garbage Collection,Medium
the sprinkler system in garden close to the fire station is broken so all the grass has dried up completely,Parks & Gardens,Medium
"The electric pole wires in Kalyan Nagar are tangled with tree branches, risk of short circuit is high.",Electricity,Medium
"The meter reading in Kalyan Nagar was never taken this quarter, yet we got an estimated bill that's too high.",Electricity,Medium
Sewage water has entered ground floor homes behind the community hall after last night's heavy rain.,Sewage & Drainage,High
Weekend crowds leave the park near the railway station full of trash by evening with no cleanup afterward.,Parks & Gardens,Low
"The railway crossing gate near near Gandhi Chowk stays closed for unusually long periods, delaying commuters.",Public Transport,Medium
"During the rains, water entered the streetlight fixture near the church junction and now it sparks dangerously.",Street Lighting,Medium
The signal at at the railway crossing has been under 'temporary repair' for six months now with no progress.,Traffic Signals,Medium
A large pit has formed on the flyover near Sector 9 due to a burst pipeline and it is a danger for vehicles.,Roads & Potholes,Critical
"Exposed electrical wires at the railway crossing are hanging low, extremely dangerous for children playing nearby.",Electricity,High
"The stray dog menace on the flyover near Sector 9 needs urgent sterilization drives, they chase morning walkers.",Other,High
"Contaminated water is coming from the municipal pipeline in front of the primary health centre, several people fell sick.",Water Supply,High
People are burning garbage openly near the church junction causing thick smoke and bad smell every evening.,Garbage Collection,Medium
The lamp post outside the mosque is leaning dangerously and could fall on passing vehicles anytime.,Street Lighting,High
School children in Old Town market have no drinking water available during exam days.,Water Supply,High
The lake inside the garden on the highway bypass road is filled with plastic waste and looks neglected.,Parks & Gardens,Medium
"street light number 14 near outside the mosque keeps blinking on and off, very annoying and unsafe",Street Lighting,High
Our request for a new electricity connection near the government hospital has been pending for over two months.,Electricity,High
"The metro service near near the bus depot has been irregular, with long gaps between trains lately.",Public Transport,Medium
Rats and cockroaches are coming from the open drain in Nehru Colony into our homes.,Sewage & Drainage,High
"The park gate close to the college gate has been broken for weeks, stray animals wander in freely.",Parks & Gardens,Medium
"An open manhole on the service road is extremely dangerous, a child almost fell into it yesterday.",Sewage & Drainage,Critical
"The railway station near the church junction lacks proper announcements, passengers keep missing their trains.",Public Transport,Medium
"traffic light near in front of our apartment building is stuck on red always, cars just ignore it now",Traffic Signals,Medium
